CASE,PIPE DIAMETER [mm],COLUMN LENGTH [mm],PARTICLES DIAMETER [mm],PARTICLES COUNT,L/D,D/Dp,POROSITY,FLOW RATE [L/min],TEMPERATURE [℃],SUPERFICIAL VELOCITY [m/s],PRESSURE DROP [Pa],STAT VERIFIED

SP-10-D50x335-G88.35,50,335,10,750,6.7,5,0.403,88.35,23,0.75,62,64,63,TRUE
SP-10-D50x335-G90.95,50,335,10,750,6.7,5,0.403,90.95,23,0.772,65,67,66,TRUE
SP-10-D50x335-G94.05,50,335,10,750,6.7,5,0.403,94.05,23,0.798,68,70,69,TRUE
SP-10-D50x335-G102.05,50,335,10,750,6.7,5,0.403,102.05,23,0.866,80,83,81.5,TRUE
SP-10-D50x335-G106.8,50,335,10,750,6.7,5,0.403,106.8,23,0.907,84,87,85.5,TRUE
SP-10-D50x335-G110.5,50,335,10,750,6.7,5,0.403,110.5,23,0.938,89,90,89.5,TRUE
SP-10-D50x335-G115,50,335,10,750,6.7,5,0.403,115,23,0.976,94,96,95,TRUE
SP-10-D50x335-G120.15,50,335,10,750,6.7,5,0.403,120.15,23,1.02,102,104,103,TRUE
SP-10-D50x335-G123.45,50,335,10,750,6.7,5,0.403,123.45,23,1.048,107,112,109.5,TRUE
SP-10-D50x335-G132.35,50,335,10,750,6.7,5,0.403,132.35,23,1.123,119,123,121,TRUE
SP-10-D50x335-G135.85,50,335,10,750,6.7,5,0.403,135.85,23,1.153,131,137,134,TRUE
SP-10-D50x335-G145.75,50,335,10,750,6.7,5,0.403,145.75,23,1.237,146,150,148,TRUE
SP-10-D50x335-G152.65,50,335,10,750,6.7,5,0.403,152.65,23,1.296,153,157,155,TRUE
SP-10-D50x335-G155.65,50,335,10,750,6.7,5,0.403,155.65,23,1.321,158,160,159,TRUE
SP-10-D50x335-G157.25,50,335,10,750,6.7,5,0.403,157.25,23,1.335,159,164,161.5,TRUE
SP-10-D50x335-G161.05,50,335,10,750,6.7,5,0.403,161.05,23,1.367,167,170,168.5,TRUE
SP-10-D50x335-G164.35,50,335,10,750,6.7,5,0.403,164.35,23,1.395,172,176,174,TRUE
SP-10-D50x335-G170.1,50,335,10,750,6.7,5,0.403,170.1,23,1.444,187,190,188.5,TRUE
SP-10-D50x335-G172.6,50,335,10,750,6.7,5,0.403,172.6,23,1.465,194,197,195.5,TRUE
SP-10-D50x335-G181.95,50,335,10,750,6.7,5,0.403,181.95,23,1.544,210,220,215,TRUE
SP-10-D50x335-G195.85,50,335,10,750,6.7,5,0.403,195.85,23,1.662,240,250,245,TRUE
SP-10-D50x379-G10.85,50,379,10,850,7.58,5,0.402,10.85,23,0.092,2,3,2.5,TRUE
SP-10-D50x379-G12.8,50,379,10,850,7.58,5,0.402,12.8,23,0.109,2,4,3,TRUE
SP-10-D50x379-G16.65,50,379,10,850,7.58,5,0.402,16.65,23,0.141,5,5,5,TRUE
SP-10-D50x379-G20.4,50,379,10,850,7.58,5,0.402,20.4,23,0.173,6,7,6.5,TRUE
SP-10-D50x379-G22.45,50,379,10,850,7.58,5,0.402,22.45,23,0.191,8,8,8,TRUE
SP-10-D50x379-G28.35,50,379,10,850,7.58,5,0.402,28.35,23,0.241,11,12,11.5,TRUE
SP-10-D50x379-G31.15,50,379,10,850,7.58,5,0.402,31.15,23,0.264,13,14,13.5,TRUE
SP-10-D50x379-G34.5,50,379,10,850,7.58,5,0.402,34.5,23,0.293,15,16,15.5,TRUE
SP-10-D50x379-G40.25,50,379,10,850,7.58,5,0.402,40.25,23,0.342,19,20,19.5,TRUE
SP-10-D50x379-G43.05,50,379,10,850,7.58,5,0.402,43.05,23,0.365,22,23,22.5,TRUE
SP-10-D50x379-G49.3,50,379,10,850,7.58,5,0.402,49.3,23,0.418,27,28,27.5,TRUE
SP-10-D50x379-G52.15,50,379,10,850,7.58,5,0.402,52.15,23,0.443,29,30,29.5,TRUE
SP-10-D50x379-G57.2,50,379,10,850,7.58,5,0.402,57.2,23,0.486,33,34,33.5,TRUE
SP-10-D50x379-G61.4,50,379,10,850,7.58,5,0.402,61.4,23,0.521,37,38,37.5,TRUE
SP-10-D50x379-G64.4,50,379,10,850,7.58,5,0.402,64.4,23,0.547,41,42,41.5,TRUE
SP-10-D50x379-G69,50,379,10,850,7.58,5,0.402,69,23,0.586,47,48,47.5,TRUE
SP-10-D50x379-G70.6,50,379,10,850,7.58,5,0.402,70.6,23,0.599,48,49,48.5,TRUE
SP-10-D50x379-G73.2,50,379,10,850,7.58,5,0.402,73.2,23,0.621,49,51,50,TRUE
SP-10-D50x379-G78.15,50,379,10,850,7.58,5,0.402,78.15,23,0.663,54,56,55,TRUE
SP-10-D50x379-G80.05,50,379,10,850,7.58,5,0.402,80.05,23,0.679,58,59,58.5,TRUE
SP-10-D50x379-G83.4,50,379,10,850,7.58,5,0.402,83.4,23,0.708,60,63,61.5,TRUE
SP-10-D50x379-G85.35,50,379,10,850,7.58,5,0.402,85.35,23,0.724,62,66,64,TRUE
SP-10-D50x379-G87.1,50,379,10,850,7.58,5,0.402,87.1,23,0.739,66,68,67,TRUE
SP-10-D50x379-G90.35,50,379,10,850,7.58,5,0.402,90.35,23,0.767,69,72,70.5,TRUE
SP-10-D50x379-G92.2,50,379,10,850,7.58,5,0.402,92.2,23,0.783,73,75,74,TRUE
SP-10-D50x379-G96.35,50,379,10,850,7.58,5,0.402,96.35,23,0.818,78,80,79,TRUE
SP-10-D50x379-G101,50,379,10,850,7.58,5,0.402,101,23,0.857,82,85,83.5,TRUE
SP-10-D50x379-G105.1,50,379,10,850,7.58,5,0.402,105.1,23,0.892,90,93,91.5,TRUE
SP-10-D50x379-G109.35,50,379,10,850,7.58,5,0.402,109.35,23,0.928,96,100,98,TRUE
SP-10-D50x379-G113.85,50,379,10,850,7.58,5,0.402,113.85,23,0.966,99,104,101.5,TRUE
SP-10-D50x379-G115.5,50,379,10,850,7.58,5,0.402,115.5,23,0.98,102,104,103,TRUE
SP-10-D50x379-G118,50,379,10,850,7.58,5,0.402,118,23,1.002,103,106,104.5,TRUE
SP-10-D50x379-G120.5,50,379,10,850,7.58,5,0.402,120.5,23,1.023,106,109,107.5,TRUE
SP-10-D50x379-G123.25,50,379,10,850,7.58,5,0.402,123.25,23,1.046,112,115,113.5,TRUE
SP-10-D50x379-G124.8,50,379,10,850,7.58,5,0.402,124.8,23,1.059,115,118,116.5,TRUE
SP-10-D50x379-G126.75,50,379,10,850,7.58,5,0.402,126.75,23,1.076,118,120,119,TRUE
SP-10-D50x379-G130.4,50,379,10,850,7.58,5,0.402,130.4,23,1.107,125,128,126.5,TRUE
SP-10-D50x379-G136.75,50,379,10,850,7.58,5,0.402,136.75,23,1.161,136,141,138.5,TRUE
SP-10-D50x379-G143.1,50,379,10,850,7.58,5,0.402,143.1,23,1.215,149,154,151.5,TRUE
SP-10-D50x379-G148.35,50,379,10,850,7.58,5,0.402,148.35,23,1.259,150,156,153,TRUE
SP-10-D50x379-G150.7,50,379,10,850,7.58,5,0.402,150.7,23,1.279,158,160,159,TRUE
SP-10-D50x379-G153.35,50,379,10,850,7.58,5,0.402,153.35,23,1.302,162,165,163.5,TRUE
SP-10-D50x379-G154.35,50,379,10,850,7.58,5,0.402,154.35,23,1.31,162,166,164,TRUE
SP-10-D50x379-G159,50,379,10,850,7.58,5,0.402,159,23,1.35,169,172,170.5,TRUE
SP-10-D50x379-G157.55,50,379,10,850,7.58,5,0.402,157.55,23,1.337,174,179,176.5,TRUE
SP-10-D50x379-G161.05,50,379,10,850,7.58,5,0.402,161.05,23,1.367,176,180,178,TRUE
SP-10-D50x379-G162,50,379,10,850,7.58,5,0.402,162,23,1.375,179,183,181,TRUE
SP-10-D50x379-G166.95,50,379,10,850,7.58,5,0.402,166.95,23,1.417,198,200,199,TRUE
SP-10-D50x379-G166.35,50,379,10,850,7.58,5,0.402,166.35,23,1.412,197,200,198.5,TRUE
SP-10-D50x379-G170,50,379,10,850,7.58,5,0.402,170,23,1.443,194,197,195.5,TRUE
SP-10-D50x379-G174.6,50,379,10,850,7.58,5,0.402,174.6,23,1.482,198,200,199,TRUE
SP-10-D50x379-G175.35,50,379,10,850,7.58,5,0.402,175.35,23,1.488,210,220,215,TRUE
SP-10-D50x423-G11.1,50,423,10,950,8.46,5,0.401,11.1,23,0.094,3,3,3,TRUE
SP-10-D50x423-G14.7,50,423,10,950,8.46,5,0.401,14.7,23,0.125,4,5,4.5,TRUE
SP-10-D50x423-G17.65,50,423,10,950,8.46,5,0.401,17.65,23,0.15,6,6,6,TRUE
SP-10-D50x423-G20.65,50,423,10,950,8.46,5,0.401,20.65,23,0.175,8,8,8,TRUE
SP-10-D50x423-G24.4,50,423,10,950,8.46,5,0.401,24.4,23,0.207,10,10,10,TRUE
SP-10-D50x423-G27.2,50,423,10,950,8.46,5,0.401,27.2,23,0.231,12,12,12,TRUE
SP-10-D50x423-G30.95,50,423,10,950,8.46,5,0.401,30.95,23,0.263,15,15,15,TRUE
SP-10-D50x423-G34.35,50,423,10,950,8.46,5,0.401,34.35,23,0.292,17,17,17,TRUE
SP-10-D50x423-G37.9,50,423,10,950,8.46,5,0.401,37.9,23,0.322,19,20,19.5,TRUE
SP-10-D50x423-G41.05,50,423,10,950,8.46,5,0.401,41.05,23,0.348,23,23,23,TRUE
SP-10-D50x423-G42.3,50,423,10,950,8.46,5,0.401,42.3,23,0.359,23,24,23.5,TRUE
SP-10-D50x423-G46.45,50,423,10,950,8.46,5,0.401,46.45,23,0.394,27,28,27.5,TRUE
SP-10-D50x423-G49.7,50,423,10,950,8.46,5,0.401,49.7,23,0.422,30,32,31,TRUE
SP-10-D50x423-G51.15,50,423,10,950,8.46,5,0.401,51.15,23,0.434,32,33,32.5,TRUE
SP-10-D50x423-G55.55,50,423,10,950,8.46,5,0.401,55.55,23,0.472,36,37,36.5,TRUE
SP-10-D50x423-G58.35,50,423,10,950,8.46,5,0.401,58.35,23,0.495,38,40,39,TRUE
