experiment,dataset,method,original_rows,training_rows,chop_grid_s,chop_grid_T,max_rows_per_cell,smoothing_type,smoothing_strength,test_obs_q_RMSE,clean_q_RMSE,clean_dq_ds_RMSE,clean_dq_dT_RMSE,test_obs_q_RMSE/noise,clean_dq_ds_RMSE/noise,clean_dq_dT_RMSE/noise,entropy_violation_%,worst_entropy_violation,deriv_violation_%,worst_deriv_violation,status,build_s,newton_steps,flux_calls,final_residual,rel_solution_err,solve_total_s,flux_eval_s,nonflux_s,avg_flux_eval_us
bello,linear_medium_noise,pchip+reg=laplacian:0.1,3000,289,17,17,1,laplacian,0.1,,,,,,,,0.0,0.0,0.0,0.0,ok,0.07140059999073856,6.0,1040,7.047293682026165e-10,0.00653713120851509,0.40155460000096355,0.3552353998675244,0.04631920013343915,341.57249987261963
bello,linear_medium_noise,pchip+reg=gradient:0.03,3000,289,17,17,1,gradient,0.03,,,,,,,,0.6,0.002032529200721294,0.0,0.0,ok,0.07170039998891298,9.0,1600,1.0257552806687828e-09,0.005140835611190695,0.6080524999997579,0.5385238001035759,0.06952869989618193,336.57737506473495
bello,linear_medium_noise,pchip+reg=gradient:0.3,3000,289,17,17,1,gradient,0.3,,,,,,,,0.0,0.0,0.0,0.0,ok,0.06937169999582693,6.0,1040,1.4960973067658117e-09,0.005376538758016919,0.39516750001348555,0.350420899951132,0.044746600062353536,336.94317302993466
bello,linear_medium_noise,smooth+pchip,3000,289,17,17,1,none,0.0,,,,,,,,0.2,0.00011057521674395144,0.0,0.0,ok,0.06982859999698121,5.0,880,5.41916971699793e-10,0.007291913706527042,0.33730840000498574,0.2985914998134831,0.038716900191502646,339.3085225153217
bello,linear_medium_noise,smooth+pchip+reg=laplacian:0.01,3000,289,17,17,1,laplacian,0.01,,,,,,,,0.2,9.020512208593314e-05,0.0,0.0,ok,0.0712548000010429,5.0,880,4.1694355516312025e-10,0.007466196045195101,0.33666610000364017,0.2980072001955705,0.03865889980806969,338.6445456767846
bello,linear_medium_noise,smooth+pchip+reg=laplacian:0.1,3000,289,17,17,1,laplacian,0.1,,,,,,,,0.2,0.00011290600926231836,0.0,0.0,ok,0.07248990000516642,4.0,720,2.757385860634626e-09,0.00788493992891644,0.27696950000245124,0.24487009983567987,0.032099400166771375,340.0973608828887
bello,linear_medium_noise,smooth+pchip+reg=gradient:0.03,3000,289,17,17,1,gradient,0.03,,,,,,,,0.2,0.0001160178547998328,0.0,0.0,ok,0.07147439999971539,5.0,880,3.9391498042600545e-10,0.007303466752160377,0.33786159999726806,0.29882500000530854,0.03903659999195952,339.5738636423961
bello,linear_medium_noise,smooth+pchip+reg=gradient:0.3,3000,289,17,17,1,gradient,0.3,,,,,,,,0.2,0.00020474230922523737,0.0,0.0,ok,0.07184300001244992,4.0,720,3.436975991382953e-09,0.007142302591286596,0.27639949999866076,0.2445183998788707,0.03188110011979006,339.60888872065374
bello,linear_medium_noise,rbf,3000,289,17,17,1,none,0.0,0.6623045603017603,0.6463677085210557,1.2606365559886428,2.1308696856638156,7.338890517242829,5.1996346945307135,4.386165981739646,9.2,0.08956940276805245,18.0,2.126477141426951,ok,0.06933329999446869,3.0,560,4.8413348347547984e-09,0.033798786399331586,0.03250399998796638,0.012132700037909672,0.02037129995005671,21.665535781981557
bello,linear_medium_noise,rbf+reg=laplacian:0.01,3000,289,17,17,1,laplacian,0.01,3.4734851641173283,3.28893051477239,5.589534994114845,10.814944769580578,42.32751994854959,23.054654367769196,22.26140019817776,27.6,16.579575570929144,35.4,11.746599783004811,failed: ZeroDivisionError,0.07127469999250025,,720,,,0.04229349999513943,0.015330599853768945,0.026962900141370483,21.29249979690131
bello,linear_medium_noise,rbf+reg=laplacian:0.1,3000,289,17,17,1,laplacian,0.1,3.440648064957614,3.257601391059731,5.537580224166272,10.710627290019188,41.929387840448925,22.840361181451826,22.046673890308565,27.6,16.29536654337936,35.199999999999996,11.618798631924474,ok,0.0715945000119973,8.0,2160,4.0604993709973446e-09,0.19440578016706125,0.12789829999383073,0.047930100132361986,0.07996819986146875,22.189861172389808
bello,linear_medium_noise,rbf+reg=gradient:0.03,3000,289,17,17,1,gradient,0.03,3.4196902378027914,3.237670135708889,5.5037284636317825,10.646780606183938,41.67444741802938,22.700735856682435,21.91525236107609,27.6,16.136017257946424,35.199999999999996,11.545944376786426,ok,0.07233480000286363,8.0,2000,1.5206260731229708e-13,0.19497102366923466,0.11614150000968948,0.042991700654965825,0.07314979935472365,21.495850327482913
bello,linear_medium_noise,rbf+reg=gradient:0.3,3000,289,17,17,1,gradient,0.3,2.9769499413781055,2.8156999045441715,4.799673419378081,9.259348934236899,36.30474290327836,19.796783073804477,19.059373542007673,26.0,12.500660419880566,35.0,9.895949072716194,ok,0.07136010000249371,7.0,1600,6.464353666116416e-10,0.20999901435599244,0.09546749999572057,0.03504169965162873,0.06042580034409184,21.901062282267958
bello,linear_medium_noise,FDMatern52,3000,289,17,17,1,none,0.0,0.21383360401416562,0.17136220080901018,0.18431203511479533,0.2220003360115271,1.7235624828616847,0.7602153434705624,0.45696380604578896,0.2,6.290113264358958e-05,0.0,0.0,ok,0.0760003999894252,8.0,1360,9.728997456511415e-10,0.007552518774566567,0.1341303999943193,0.08264780030003749,0.051482599694281816,60.77044139708639
bello,linear_medium_noise,FDMatern52+reg=laplacian:0.01,3000,289,17,17,1,laplacian,0.01,0.21322802767074372,0.1708802368110973,0.18264053477742523,0.2184904684308254,1.7136289695447908,0.7533210557356702,0.44973912126733484,0.2,5.495735842420324e-05,0.0,0.0,ok,0.07633560000977013,7.0,1200,6.342711179232508e-09,0.007649531069599717,0.1166083999996772,0.07120639974891674,0.045402000250760466,59.33866645743061
bello,linear_medium_noise,FDMatern52+reg=laplacian:0.1,3000,289,17,17,1,laplacian,0.1,0.21043270934223665,0.16845656293103622,0.17419276991653465,0.20191519671280816,1.6624965493164752,0.7184773166315982,0.4156207078154066,0.2,0.00011702705907542854,0.0,0.0,ok,0.07579849999456201,6.0,1040,2.2663629164148853e-09,0.00782062001818019,0.10150749998865649,0.062345700134756044,0.03916179985390045,59.94778859111158
bello,linear_medium_noise,FDMatern52+reg=gradient:0.03,3000,289,17,17,1,gradient,0.03,0.21465585367344314,0.17241284230280673,0.18435576756037084,0.21569216231045962,1.712253608895509,0.7603957227719644,0.4439791091961046,0.2,7.702946736625405e-05,0.0,0.0,ok,0.07619120000163093,7.0,1200,5.913262627479319e-09,0.007504993836067224,0.11864149999746587,0.07293390014092438,0.04570759985654149,60.77825011743698
bello,linear_medium_noise,FDMatern52+reg=gradient:0.3,3000,289,17,17,1,gradient,0.3,0.22721368392125188,0.18684592371334757,0.1981545532017822,0.17916181183171215,1.6815424379147057,0.8173103380293386,0.3687853131376685,0.2,0.00019790818631467016,0.0,0.0,ok,0.075918599992292,6.0,1040,2.5526343728136995e-09,0.007184024318010465,0.10378720000153407,0.06361010008549783,0.04017709991603624,61.163557774517145
bello,linear_medium_noise,FDIntegratedEpanechnikov,3000,289,17,17,1,none,0.0,0.19130385576115821,0.14444915611995637,0.09327049495918217,0.05078080097827063,1.517399868662597,0.3847044568570998,0.10452681516607876,1.0,0.0009126419735708994,0.0,0.0,ok,0.07768479999504052,3.0,560,5.987538513983494e-09,0.004519698923400898,0.05539249999856111,0.03402539994567633,0.02136710005288478,60.759642760136295
bello,linear_medium_noise,FDIntegratedEpanechnikov+reg=laplacian:0.01,3000,289,17,17,1,laplacian,0.01,0.19137234118984214,0.14456342668748193,0.09319059948735822,0.05069698757304771,1.5187648662116138,0.3843749191602448,0.10435429428914489,1.0,0.0009199693554053012,0.0,0.0,ok,0.0810254999960307,3.0,560,6.071907287688623e-09,0.004453440731249225,0.055572199999005534,0.03391559990996029,0.02165660008904524,60.56357126778624
bello,linear_medium_noise,FDIntegratedEpanechnikov+reg=laplacian:0.1,3000,289,17,17,1,laplacian,0.1,0.1914958188419511,0.1448444730905751,0.09281695776839063,0.04960581214101045,1.522874469171372,0.38283379262695594,0.10210822706489747,1.0,0.000942313629277286,0.0,0.0,ok,0.08005879999836907,3.0,560,7.0760354397144e-09,0.004214727482403426,0.05513239999709185,0.03397349998704158,0.021158900010050274,60.66696426257425
bello,linear_medium_noise,FDIntegratedEpanechnikov+reg=gradient:0.03,3000,289,17,17,1,gradient,0.03,0.19066464124672577,0.14370624073792587,0.09271465641971421,0.050049597839327095,1.5151340360271561,0.3824118394166129,0.10302171217674402,1.0,0.0009092125472584678,0.0,0.0,ok,0.08020900000701658,3.0,560,6.192395308456745e-09,0.00438265746947795,0.055564700000104494,0.03418379998765886,0.021380900012445636,61.042499977962244
bello,linear_medium_noise,FDIntegratedEpanechnikov+reg=gradient:0.3,3000,289,17,17,1,gradient,0.3,0.1900244552524104,0.14318604474144125,0.09165128971131842,0.04486936162972152,1.5203425663595584,0.37802586599412435,0.09235875329530042,1.0,0.0008534868987952288,0.0,0.0,ok,0.08012509999389295,3.0,560,7.647966960397287e-09,0.0037748169323129498,0.05546229999163188,0.03427149994240608,0.0211908000492258,61.19910704001086
bello,linear_medium_noise,savgol,3000,289,17,17,1,none,0.0,0.13199706273598488,0.058460030228971414,0.09322953059971285,0.2252267344662376,1.0082522925881856,0.3845354948325384,0.46360500012762224,0.4,0.0005881281400741196,0.0,0.0,failed: RuntimeError,0.06710190000012517,,36560,,,6.705188300009468,5.190604599512881,1.514583700496587,141.97496169345953
bello,linear_medium_noise,savgol+reg=laplacian:0.01,3000,289,17,17,1,laplacian,0.01,0.207822381030902,0.16673540204083592,0.1391483771429412,0.23078524954546964,1.8198713274903597,0.5739328484827787,0.4750466053621157,0.0,0.0,0.0,0.0,failed: RuntimeError,0.06799389999650884,,37120,,,6.878836699994281,5.329276900098193,1.5495597998960875,143.56888200695565
bello,linear_medium_noise,savgol+reg=laplacian:0.1,3000,289,17,17,1,laplacian,0.1,0.2032056235537384,0.1613658947254436,0.13400272558813014,0.20321399473856117,1.7243848349747994,0.5527090403810228,0.41829414381012525,0.0,0.0,0.0,0.0,failed: RuntimeError,0.0689633000001777,,40640,,,7.404466299994965,5.746990401443327,1.6574758985516382,141.41216538984565
bello,linear_medium_noise,savgol+reg=gradient:0.03,3000,289,17,17,1,gradient,0.03,0.2088294100976691,0.16777282507552885,0.13982274206090234,0.2275869804362266,1.8184318920311684,0.5767143410609112,0.4684633125114126,0.0,0.0,0.0,0.0,failed: RuntimeError,0.07043560000602156,,50240,,,9.125000400003046,7.090156399528496,2.03484400047455,141.12572451290796
bello,linear_medium_noise,savgol+reg=gradient:0.3,3000,289,17,17,1,gradient,0.3,0.21563595674887887,0.174691327368212,0.16619581811792566,0.17447190374181268,1.714867104344177,0.6854930057887896,0.359131641934873,0.0,0.0,0.0,0.0,failed: RuntimeError,0.07094320000032894,,40720,,,7.2589557000028435,5.648316900871578,1.6106387991312658,138.71112232002892
bello,linear_medium_noise,kissgp,3000,289,17,17,1,none,0.0,0.16845765372838342,0.11016869957288142,0.23632547019724293,0.18438080321829528,1.236583994950756,0.9747505006113268,0.37952804538114304,0.0,0.0,0.0,0.0,ok,0.359711499986588,3.0,560,6.579489903412864e-11,0.0059025826029179265,1.7135455999959959,1.6728724001295632,0.0406731998664327,2987.272143088506
bello,linear_medium_noise,mlp,3000,289,17,17,1,none,0.0,0.1786513857764218,0.13053567078411024,0.32467435995152377,0.2768091189454319,1.7271610516803584,1.3391552532796023,0.5697817886857529,0.6,0.002045125708057711,0.0,0.0,ok,4.090972199992393,3.0,560,5.844229455408088e-10,0.01238179311721629,5.444136200007051,5.401205800008029,0.042930399999022484,9645.010357157194
