experiment,dataset,method,original_rows,training_rows,chop_grid_s,chop_grid_T,max_rows_per_cell,smoothing_type,smoothing_strength,model_regularization_type,model_regularization_strength,test_obs_q_RMSE,clean_q_RMSE,clean_dq_ds_RMSE,clean_dq_dT_RMSE,test_obs_q_RMSE/noise,clean_dq_ds_RMSE/noise,clean_dq_dT_RMSE/noise,entropy_violation_%,worst_entropy_violation,deriv_violation_%,worst_deriv_violation,status,build_s,newton_steps,flux_calls,final_residual,rel_solution_err,solve_total_s,flux_eval_s,nonflux_s,avg_flux_eval_us,Unnamed: 33
bello,linear_medium_noise,cubicspline,3000.0,289.0,17.0,17.0,1.0,none,0.0,,,0.2716920977199998,0.2372466377519785,0.8430134058924064,1.7584998082746606,2.741779809924927,3.477101891429007,3.619682653445419,0.6,0.001391438,4.8,1.265934703479346,ok,0.0666547,6.0,1280.0,8.105177089267105e-13,0.007181959,0.0542290000012144,0.0094319,0.0447971,7.368672049778979,
bello,linear_medium_noise,cubicspline+reg=laplacian:0.01,3000.0,289.0,17.0,17.0,1.0,laplacian,0.01,,,0.2564321715294622,0.2199753514228923,0.7062215987247272,1.4496232298558227,2.5148252592595783,2.912888976058792,2.983893449660863,0.4,0.000427197,2.2,0.7951449529774444,ok,0.0678632,5.0,960.0,2.5380503847947315e-11,0.005894747,0.0416218999889679,0.0070825,0.0345394,7.377604424618767,
bello,linear_medium_noise,cubicspline+reg=laplacian:0.1,3000.0,289.0,17.0,17.0,1.0,laplacian,0.1,,,0.222219157804484,0.1808651818894397,0.4093792524335997,0.7804282517063008,1.9866535714533848,1.688529936771062,1.6064275876900238,0.0,0.0,0.2,0.4642760987212955,ok,0.0698913,4.0,720.0,1.8796570908701955e-14,0.006423317,0.0310854,0.00534,0.0257454000238794,7.416666630888358,
bello,linear_medium_noise,cubicspline+reg=gradient:0.03,3000.0,289.0,17.0,17.0,1.0,gradient,0.03,,,0.2601486627409699,0.2241727427028943,0.7436859275621313,1.544119989202825,2.5674536385808007,3.0674147377502754,3.178404861607361,0.4,0.000255287,3.2,0.987995383107472,ok,0.0675039,6.0,1280.0,2.1682368591390618e-13,0.006539472,0.0554534999973839,0.0094692,0.0459842999844113,7.397812510134827,
bello,linear_medium_noise,cubicspline+reg=gradient:0.3,3000.0,289.0,17.0,17.0,1.0,gradient,0.3,,,0.2300757771069911,0.188838512178602,0.4026827007280107,0.7816001735618442,1.9744507505972608,1.6609092697225865,1.608839862739326,0.0,0.0,0.2,0.003725305,ok,0.0670891,4.0,720.0,1.7950014859363806e-12,0.00561004,0.0305913,0.005300701,0.025290599,7.362084135012184,
bello,linear_medium_noise,pchip,3000.0,289.0,17.0,17.0,1.0,none,0.0,,,,,,,,,,0.6,0.003127216,0.0,0.0,ok,0.0679576,7.0,1360.0,9.6935646436915e-09,0.005512168,0.5247876000066753,0.4648593002348207,0.0599282997718546,341.80830899619167,
bello,linear_medium_noise,pchip+reg=laplacian:0.01,3000.0,289.0,17.0,17.0,1.0,laplacian,0.01,,,,,,,,,,0.4,0.002016075,0.0,0.0,ok,0.071327,8.0,1440.0,1.306088660758414e-09,0.004958973,0.5618944000016199,0.4970343000459252,0.0648601,345.16270836522585,
bello,linear_medium_noise,pchip+reg=laplacian:0.1,3000.0,289.0,17.0,17.0,1.0,laplacian,0.1,,,,,,,,,,0.0,0.0,0.0,0.0,ok,0.0714006,6.0,1040.0,7.047293682026163e-10,0.006537131,0.4015546000009635,0.3552353998675244,0.0463192,341.57249987261963,
bello,linear_medium_noise,pchip+reg=gradient:0.03,3000.0,289.0,17.0,17.0,1.0,gradient,0.03,,,,,,,,,,0.6,0.002032529,0.0,0.0,ok,0.0717004,9.0,1600.0,1.0257552806687826e-09,0.005140836,0.6080524999997579,0.5385238001035759,0.0695287,336.5773750647349,
bello,linear_medium_noise,pchip+reg=gradient:0.3,3000.0,289.0,17.0,17.0,1.0,gradient,0.3,,,,,,,,,,0.0,0.0,0.0,0.0,ok,0.0693717,6.0,1040.0,1.4960973067658115e-09,0.005376539,0.3951675000134855,0.3504209,0.0447466000623535,336.94317302993466,
bello,linear_medium_noise,smooth+pchip,3000.0,289.0,17.0,17.0,1.0,none,0.0,,,,,,,,,,0.2,0.000110575,0.0,0.0,ok,0.0698286,5.0,880.0,5.419169716997931e-10,0.007291914,0.3373084000049857,0.2985914998134831,0.0387169001915026,339.3085225153217,
bello,linear_medium_noise,smooth+pchip+reg=laplacian:0.01,3000.0,289.0,17.0,17.0,1.0,laplacian,0.01,,,,,,,,,,0.2,9.020512208593314e-05,0.0,0.0,ok,0.0712548,5.0,880.0,4.1694355516312015e-10,0.007466196,0.3366661000036401,0.2980072001955705,0.0386589,338.6445456767846,
bello,linear_medium_noise,smooth+pchip+reg=laplacian:0.1,3000.0,289.0,17.0,17.0,1.0,laplacian,0.1,,,,,,,,,,0.2,0.000112906,0.0,0.0,ok,0.0724899,4.0,720.0,2.757385860634626e-09,0.00788494,0.2769695000024512,0.2448700998356798,0.0320994001667713,340.0973608828887,
bello,linear_medium_noise,smooth+pchip+reg=gradient:0.03,3000.0,289.0,17.0,17.0,1.0,gradient,0.03,,,,,,,,,,0.2,0.000116018,0.0,0.0,ok,0.0714744,5.0,880.0,3.9391498042600545e-10,0.007303467,0.337861599997268,0.2988250000053085,0.0390366,339.5738636423961,
bello,linear_medium_noise,smooth+pchip+reg=gradient:0.3,3000.0,289.0,17.0,17.0,1.0,gradient,0.3,,,,,,,,,,0.2,0.000204742,0.0,0.0,ok,0.071843,4.0,720.0,3.436975991382953e-09,0.007142303,0.2763994999986607,0.2445183998788707,0.0318811,339.60888872065374,
bello,linear_medium_noise,rbf,3000.0,289.0,17.0,17.0,1.0,none,0.0,,,0.6623045603017603,0.6463677085210557,1.2606365559886428,2.130869685663816,7.338890517242829,5.1996346945307135,4.386165981739646,9.2,0.089569403,18.0,2.126477141426951,ok,0.0693333,3.0,560.0,4.8413348347547984e-09,0.0337987863993315,0.032504,0.0121327000379096,0.0203713,21.66553578198156,
bello,linear_medium_noise,rbf+reg=laplacian:0.01,3000.0,289.0,17.0,17.0,1.0,laplacian,0.01,,,3.4734851641173283,3.288930515,5.589534994114845,10.814944769580578,42.32751994854959,23.0546543677692,22.26140019817776,27.6,16.579575570929144,35.4,11.746599783004813,failed: ZeroDivisionError,0.0712747,,720.0,,,0.0422935,0.0153305998537689,0.0269629001413704,21.29249979690131,
bello,linear_medium_noise,rbf+reg=laplacian:0.1,3000.0,289.0,17.0,17.0,1.0,laplacian,0.1,,,3.440648064957614,3.257601391059731,5.537580224166272,10.710627290019188,41.929387840448925,22.840361181451826,22.046673890308565,27.6,16.29536654337936,35.2,11.618798631924474,ok,0.0715945,8.0,2160.0,4.0604993709973446e-09,0.1944057801670612,0.1278982999938307,0.0479301001323619,0.0799682,22.189861172389808,
bello,linear_medium_noise,rbf+reg=gradient:0.03,3000.0,289.0,17.0,17.0,1.0,gradient,0.03,,,3.419690237802792,3.237670135708889,5.503728463631783,10.646780606183938,41.67444741802938,22.700735856682435,21.91525236107609,27.6,16.136017257946424,35.2,11.545944376786426,ok,0.0723348,8.0,2000.0,1.5206260731229708e-13,0.1949710236692346,0.1161415000096894,0.0429917006549658,0.073149799,21.49585032748292,
bello,linear_medium_noise,rbf+reg=gradient:0.3,3000.0,289.0,17.0,17.0,1.0,gradient,0.3,,,2.976949941378105,2.8156999045441715,4.799673419378081,9.2593489342369,36.30474290327836,19.79678307380448,19.05937354200768,26.0,12.500660419880566,35.0,9.895949072716194,ok,0.0713601,7.0,1600.0,6.464353666116414e-10,0.2099990143559924,0.0954675,0.0350417,0.0604258,21.90106228226796,
bello,linear_medium_noise,FDMatern52,3000.0,289.0,17.0,17.0,1.0,none,0.0,,,0.2138336040141656,0.1713622008090101,0.1843120351147953,0.2220003360115271,1.723562482861685,0.7602153434705624,0.4569638060457889,0.2,6.290113264358958e-05,0.0,0.0,ok,0.0760004,8.0,1360.0,9.728997456511415e-10,0.007552519,0.1341303999943193,0.0826478,0.0514825996942818,60.77044139708639,
